lea_id,state,district_name,esb_committed,committed,total_buses,contractor,locale,region,pct_frl,pct_poverty,income_med,pct_nonwhite_hisp,pm25,ozone,asthma18p,pod,applied_not_awarded,arp_qualified,epa2022_prioritized,epa2023_prioritized,pct_esb_fleet
3625740,NEW YORK,SARANAC LAKE CENTRAL SCHOOL DISTRICT,0,0,19,NA,Town,Northeast,44,11.7,63848,10.4,5.2,53.1,10.4,0,NA,0,0,0,0
3625770,NEW YORK,SARATOGA SPRINGS CITY SD,0,0,95,NA,Suburban,Northeast,26,7.9,91565,10.6,6.9,52.1,10.1,0,NA,0,0,0,0
3625800,NEW YORK,SAUGERTIES CENTRAL SCHOOL DISTRICT,0,0,1,NA,Suburban,Northeast,44,7.2,65942,14.3,6.5,54.9,9.9,0,NA,0,0,0,0
3625920,NEW YORK,SAYVILLE UNION FREE SCHOOL DISTRICT,0,0,NA,1,Suburban,Northeast,12,5.7,131910,11,6.8,67.3,9,0,NA,0,0,0,0
2923550,MISSOURI,PARK HILL,4,1,140,1,Urban,Midwest,27,6,85935,22.8,8,59.8,9,0,NA,0,0,0,3
3625980,NEW YORK,SCHALMONT CENTRAL SCHOOL DISTRICT,0,0,48,NA,Suburban,Northeast,29,8,83625,12.8,6.8,52.7,10,0,NA,0,0,0,0
3626010,NEW YORK,SCHENECTADY CITY SCHOOL DISTRICT,0,0,NA,NA,Urban,Northeast,64,21.3,50237,47.2,7.1,53.1,11.8,0,NA,0,1,1,0
3626070,NEW YORK,SCHODACK CENTRAL SCHOOL DISTRICT,0,0,22,NA,Suburban,Northeast,22,4.7,83656,8.3,6.9,55.7,9.2,0,NA,0,0,0,0
3626100,NEW YORK,SCHOHARIE CENTRAL SCHOOL DISTRICT,0,0,28,NA,Rural,Northeast,48,9.8,69748,8.1,6.3,52.6,10.4,0,NA,0,1,0,0
3626130,NEW YORK,SCHROON LAKE CENTRAL SCHOOL DISTRICT,0,0,8,NA,Rural,Northeast,60,8.6,59224,4.4,5.4,51.7,10.3,0,NA,0,1,1,0
3626160,NEW YORK,SCHUYLERVILLE CENTRAL SCHOOL DISTRICT,0,0,34,NA,Rural,Northeast,31,4.4,91781,6.8,6.9,52.5,9.8,0,NA,0,0,0,0
3626190,NEW YORK,SCIO CENTRAL SCHOOL DISTRICT,0,0,8,NA,Rural,Northeast,51,22.1,50000,9.9,6.3,53.6,10.6,0,NA,0,1,1,0
3626310,NEW YORK,SCOTIA-GLENVILLE CENTRAL SCHOOL DISTRICT,0,0,43,NA,Suburban,Northeast,34,6,76075,11.2,7,52.6,9.6,0,NA,0,0,0,0
0629910,CALIFORNIA,Parlier Unified,5,1,16,NA,Town,West,96,29.2,44049,93.1,10.8,76.8,10,1,NA,0,1,1,31
3626400,NEW YORK,SEAFORD UNION FREE SCHOOL DISTRICT,0,0,NA,NA,Suburban,Northeast,13,1.8,143750,10.8,7.1,67.7,8.8,0,NA,0,0,0,0
3626430,NEW YORK,SENECA FALLS CENTRAL SCHOOL DISTRICT,0,0,22,NA,Town,Northeast,51,13.6,55189,6.9,6.7,54.9,10.2,0,NA,0,0,0,0
